customer_id,segment,signup_date,initial_plan_key,initial_contract_type,initial_locations,status
CUST_00001,small,2025-02-04,basic,monthly,1,active
CUST_00002,small,2024-11-26,pro,annual,1,active
CUST_00003,mid,2023-03-12,pro,monthly,2,active
CUST_00004,large,2024-07-22,enterprise,annual,10,active
CUST_00005,small,2024-06-12,basic,monthly,1,active
CUST_00006,small,2023-04-22,basic,monthly,1,active
CUST_00007,small,2025-07-09,basic,monthly,1,active
CUST_00008,large,2024-03-20,pro,annual,9,active
CUST_00009,mid,2025-06-01,pro,annual,2,active
CUST_00010,small,2024-08-28,basic,monthly,1,active
CUST_00011,mid,2025-05-31,pro,annual,3,active
CUST_00012,small,2024-01-12,basic,monthly,1,active
CUST_00013,mid,2025-03-01,basic,monthly,4,active
CUST_00014,small,2023-04-15,basic,annual,1,active
CUST_00015,small,2025-05-05,pro,monthly,1,active
CUST_00016,mid,2025-08-01,pro,annual,5,active
CUST_00017,small,2025-11-25,basic,monthly,1,active
CUST_00018,large,2023-03-28,pro,annual,7,active
CUST_00019,mid,2023-01-11,pro,annual,5,active
CUST_00020,small,2025-03-16,basic,annual,1,active
CUST_00021,mid,2023-07-15,pro,annual,4,active
CUST_00022,mid,2025-04-16,enterprise,annual,5,active
CUST_00023,small,2024-01-31,basic,monthly,1,active
CUST_00024,mid,2025-01-31,pro,monthly,3,active
CUST_00025,small,2024-12-26,basic,monthly,1,active
CUST_00026,small,2025-01-22,basic,annual,1,active
CUST_00027,mid,2024-12-05,pro,monthly,3,active
CUST_00028,small,2023-05-16,basic,monthly,1,active
CUST_00029,mid,2024-06-27,pro,monthly,5,active
CUST_00030,mid,2025-11-18,pro,annual,3,active
CUST_00031,small,2025-09-04,basic,monthly,1,active
CUST_00032,small,2023-03-10,basic,monthly,1,active
CUST_00033,large,2023-09-12,pro,annual,8,active
CUST_00034,small,2024-10-16,basic,monthly,1,active
CUST_00035,mid,2025-02-19,pro,monthly,5,active
CUST_00036,mid,2023-05-11,pro,monthly,4,active
CUST_00037,small,2023-07-10,basic,annual,1,active
CUST_00038,small,2023-04-25,basic,monthly,1,active
CUST_00039,mid,2024-07-04,pro,annual,2,active
CUST_00040,small,2025-05-06,basic,monthly,1,active
CUST_00041,mid,2025-01-05,pro,annual,2,active
CUST_00042,small,2023-08-06,basic,monthly,1,active
CUST_00043,mid,2025-04-15,pro,annual,2,active
CUST_00044,mid,2025-12-13,pro,annual,3,active
CUST_00045,large,2024-05-29,enterprise,monthly,8,active
CUST_00046,small,2025-08-23,basic,monthly,1,active
CUST_00047,mid,2024-10-26,pro,annual,4,active
CUST_00048,small,2025-06-26,basic,monthly,1,active
CUST_00049,small,2024-09-24,pro,annual,1,active
CUST_00050,small,2023-12-03,pro,monthly,1,active
CUST_00051,large,2024-02-23,enterprise,annual,8,active
CUST_00052,mid,2023-10-02,pro,annual,2,active
CUST_00053,large,2024-03-24,enterprise,annual,9,active
CUST_00054,small,2025-03-15,basic,monthly,1,active
CUST_00055,large,2024-02-28,enterprise,annual,6,active
CUST_00056,mid,2023-03-09,pro,annual,4,active
CUST_00057,small,2024-10-13,pro,annual,1,active
CUST_00058,mid,2023-12-07,pro,annual,2,active
CUST_00059,mid,2024-05-29,pro,annual,3,active
CUST_00060,mid,2025-01-21,pro,annual,2,active
CUST_00061,mid,2025-11-04,pro,annual,4,active
CUST_00062,mid,2025-09-09,pro,annual,2,active
CUST_00063,small,2025-03-05,pro,monthly,1,active
CUST_00064,mid,2025-12-19,pro,monthly,4,active
CUST_00065,small,2025-05-06,basic,annual,1,active
CUST_00066,small,2023-08-20,basic,monthly,1,active
CUST_00067,small,2023-07-21,pro,monthly,1,active
CUST_00068,large,2025-08-29,pro,annual,9,active
CUST_00069,small,2023-08-23,basic,monthly,1,active
CUST_00070,mid,2024-03-19,pro,annual,2,active
CUST_00071,small,2023-11-15,basic,monthly,1,active
CUST_00072,small,2025-03-27,basic,monthly,1,active
CUST_00073,large,2025-11-03,enterprise,annual,6,active
CUST_00074,small,2024-08-21,basic,monthly,1,active
CUST_00075,small,2023-12-25,basic,monthly,1,active
CUST_00076,small,2024-06-03,basic,monthly,1,active
CUST_00077,small,2024-05-02,basic,annual,1,active
CUST_00078,mid,2023-07-11,pro,annual,4,active
CUST_00079,small,2024-12-28,enterprise,monthly,1,active
CUST_00080,small,2023-07-14,basic,annual,1,active
CUST_00081,mid,2025-01-21,pro,monthly,3,active
CUST_00082,small,2024-05-16,basic,monthly,1,active
CUST_00083,small,2025-11-08,basic,monthly,1,active
CUST_00084,mid,2023-06-22,pro,annual,4,active
CUST_00085,small,2025-08-15,basic,annual,1,active
CUST_00086,small,2024-09-02,basic,monthly,1,active
CUST_00087,mid,2023-10-02,pro,annual,3,active
CUST_00088,small,2024-11-08,basic,annual,1,active
CUST_00089,small,2024-04-13,pro,annual,1,active
CUST_00090,small,2025-10-11,pro,monthly,1,active
CUST_00091,small,2025-02-05,pro,monthly,1,active
CUST_00092,small,2025-02-12,basic,annual,1,active
CUST_00093,small,2023-12-21,basic,monthly,1,active
CUST_00094,small,2025-12-23,basic,monthly,1,active
CUST_00095,mid,2024-06-25,pro,annual,4,active
CUST_00096,mid,2025-04-21,pro,annual,3,active
CUST_00097,small,2024-03-21,enterprise,monthly,1,active
CUST_00098,small,2023-06-05,basic,monthly,1,active
CUST_00099,mid,2023-10-11,pro,annual,4,active
CUST_00100,mid,2024-06-24,pro,monthly,4,active
CUST_00101,small,2025-08-31,basic,monthly,1,active
CUST_00102,small,2024-04-24,basic,annual,1,active
CUST_00103,small,2024-09-09,pro,monthly,1,active
CUST_00104,small,2024-05-29,basic,annual,1,active
CUST_00105,large,2023-03-26,enterprise,monthly,10,active
CUST_00106,small,2024-11-24,basic,monthly,1,active
CUST_00107,small,2025-11-06,basic,monthly,1,active
CUST_00108,large,2023-10-16,pro,annual,9,active
CUST_00109,mid,2024-08-05,pro,monthly,2,active
CUST_00110,small,2025-01-27,basic,annual,1,active
CUST_00111,mid,2025-02-11,pro,monthly,5,active
CUST_00112,small,2023-01-03,basic,monthly,1,active
CUST_00113,small,2025-06-28,pro,monthly,1,active
CUST_00114,large,2023-01-24,pro,annual,6,active
CUST_00115,small,2023-07-02,basic,monthly,1,active
