event_id,customer_id,subscription_id,event_date,event_type,old_plan_id,new_plan_id,old_locations,new_locations,old_discount_pct,new_discount_pct
EVT_00001,CUST_00080,SUB_00080,2023-01-01,signup,,1,,1,,0.0
EVT_00002,CUST_02918,SUB_02918,2023-01-01,signup,,1,,1,,0.1
EVT_00003,CUST_03272,SUB_03272,2023-01-01,signup,,2,,2,,0.1
EVT_00004,CUST_05285,SUB_05285,2023-01-01,signup,,1,,1,,0.0
EVT_00005,CUST_06015,SUB_06015,2023-01-01,signup,,1,,1,,0.0
EVT_00006,CUST_01101,SUB_01101,2023-01-02,signup,,3,,2,,0.2
EVT_00007,CUST_02761,SUB_02761,2023-01-02,signup,,1,,1,,0.0
EVT_00008,CUST_03745,SUB_03745,2023-01-02,signup,,2,,3,,0.3
EVT_00009,CUST_04063,SUB_04063,2023-01-02,signup,,1,,1,,0.0
EVT_00010,CUST_04806,SUB_04806,2023-01-02,signup,,2,,2,,0.0
EVT_00011,CUST_05405,SUB_05405,2023-01-02,signup,,1,,1,,0.0
EVT_00012,CUST_05604,SUB_05604,2023-01-02,signup,,3,,9,,0.0
EVT_00013,CUST_06659,SUB_06659,2023-01-02,signup,,2,,3,,0.1
EVT_00014,CUST_01936,SUB_01936,2023-01-03,signup,,3,,6,,0.3
EVT_00015,CUST_02904,SUB_02904,2023-01-03,signup,,1,,1,,0.1
EVT_00016,CUST_03038,SUB_03038,2023-01-03,signup,,1,,3,,0.1
EVT_00017,CUST_03191,SUB_03191,2023-01-03,signup,,2,,4,,0.0
EVT_00018,CUST_03928,SUB_03928,2023-01-03,signup,,2,,2,,0.2
EVT_00019,CUST_04610,SUB_04610,2023-01-03,signup,,1,,1,,0.0
EVT_00020,CUST_06409,SUB_06409,2023-01-03,signup,,2,,6,,0.2
EVT_00021,CUST_05146,SUB_05146,2023-01-04,signup,,3,,6,,0.3
EVT_00022,CUST_05418,SUB_05418,2023-01-04,signup,,1,,1,,0.2
EVT_00023,CUST_06903,SUB_06903,2023-01-04,signup,,2,,1,,0.1
EVT_00024,CUST_03907,SUB_03907,2023-01-05,signup,,1,,3,,0.2
EVT_00025,CUST_04198,SUB_04198,2023-01-05,signup,,1,,1,,0.0
EVT_00026,CUST_04351,SUB_04351,2023-01-05,signup,,1,,1,,0.0
EVT_00027,CUST_04509,SUB_04509,2023-01-05,signup,,1,,1,,0.0
EVT_00028,CUST_04592,SUB_04592,2023-01-05,signup,,2,,3,,0.0
EVT_00029,CUST_05470,SUB_05470,2023-01-05,signup,,1,,1,,0.0
EVT_00030,CUST_06803,SUB_06803,2023-01-05,signup,,1,,2,,0.2
EVT_00031,CUST_00206,SUB_00206,2023-01-06,signup,,2,,5,,0.2
EVT_00032,CUST_00505,SUB_00505,2023-01-06,signup,,2,,1,,0.2
EVT_00033,CUST_03207,SUB_03207,2023-01-06,signup,,1,,1,,0.0
EVT_00034,CUST_05192,SUB_05192,2023-01-06,signup,,3,,8,,0.2
EVT_00035,CUST_05665,SUB_05665,2023-01-06,signup,,2,,1,,0.0
EVT_00036,CUST_02598,SUB_02598,2023-01-07,signup,,1,,1,,0.0
EVT_00037,CUST_02722,SUB_02722,2023-01-07,signup,,2,,6,,0.1
EVT_00038,CUST_06216,SUB_06216,2023-01-07,signup,,2,,1,,0.1
EVT_00039,CUST_06473,SUB_06473,2023-01-07,signup,,3,,8,,0.1
EVT_00040,CUST_01745,SUB_01745,2023-01-08,signup,,1,,1,,0.0
EVT_00041,CUST_01843,SUB_01843,2023-01-08,signup,,2,,1,,0.1
EVT_00042,CUST_03845,SUB_03845,2023-01-08,signup,,2,,3,,0.1
EVT_00043,CUST_05264,SUB_05264,2023-01-08,signup,,1,,1,,0.1
EVT_00044,CUST_05344,SUB_05344,2023-01-08,signup,,1,,1,,0.0
EVT_00045,CUST_05678,SUB_05678,2023-01-08,signup,,1,,1,,0.1
EVT_00046,CUST_06365,SUB_06365,2023-01-08,signup,,1,,1,,0.0
EVT_00047,CUST_06747,SUB_06747,2023-01-08,signup,,1,,1,,0.1
EVT_00048,CUST_00718,SUB_00718,2023-01-09,signup,,3,,10,,0.2
EVT_00049,CUST_01224,SUB_01224,2023-01-09,signup,,3,,2,,0.0
EVT_00050,CUST_01330,SUB_01330,2023-01-09,signup,,3,,7,,0.0
EVT_00051,CUST_01859,SUB_01859,2023-01-09,signup,,3,,2,,0.0
EVT_00052,CUST_02659,SUB_02659,2023-01-09,signup,,1,,1,,0.0
EVT_00053,CUST_02834,SUB_02834,2023-01-09,signup,,1,,1,,0.0
EVT_00054,CUST_04244,SUB_04244,2023-01-09,signup,,1,,1,,0.0
EVT_00055,CUST_04550,SUB_04550,2023-01-09,signup,,3,,3,,0.0
EVT_00056,CUST_05739,SUB_05739,2023-01-09,signup,,1,,1,,0.0
EVT_00057,CUST_01898,SUB_01898,2023-01-10,signup,,3,,4,,0.0
EVT_00058,CUST_03909,SUB_03909,2023-01-10,signup,,1,,1,,0.0
EVT_00059,CUST_05712,SUB_05712,2023-01-10,signup,,1,,1,,0.1
EVT_00060,CUST_06783,SUB_06783,2023-01-10,signup,,3,,7,,0.2
EVT_00061,CUST_01405,SUB_01405,2023-01-11,signup,,1,,1,,0.0
EVT_00062,CUST_01878,SUB_01878,2023-01-11,signup,,2,,10,,0.3
EVT_00063,CUST_01906,SUB_01906,2023-01-11,signup,,2,,1,,0.1
EVT_00064,CUST_01999,SUB_01999,2023-01-11,signup,,2,,3,,0.0
EVT_00065,CUST_04054,SUB_04054,2023-01-11,signup,,3,,6,,0.0
EVT_00066,CUST_04258,SUB_04258,2023-01-11,signup,,3,,7,,0.2
EVT_00067,CUST_04386,SUB_04386,2023-01-11,signup,,2,,6,,0.3
EVT_00068,CUST_04526,SUB_04526,2023-01-11,signup,,1,,1,,0.2
EVT_00069,CUST_05983,SUB_05983,2023-01-11,signup,,2,,2,,0.0
EVT_00070,CUST_00739,SUB_00739,2023-01-12,signup,,2,,2,,0.1
EVT_00071,CUST_01713,SUB_01713,2023-01-12,signup,,2,,2,,0.0
EVT_00072,CUST_04120,SUB_04120,2023-01-12,signup,,1,,1,,0.0
EVT_00073,CUST_04186,SUB_04186,2023-01-12,signup,,1,,1,,0.1
EVT_00074,CUST_06438,SUB_06438,2023-01-12,signup,,2,,1,,0.0
EVT_00075,CUST_01582,SUB_01582,2023-01-13,signup,,1,,1,,0.0
EVT_00076,CUST_01707,SUB_01707,2023-01-13,signup,,1,,1,,0.0
EVT_00077,CUST_03394,SUB_03394,2023-01-13,signup,,2,,3,,0.0
EVT_00078,CUST_03464,SUB_03464,2023-01-13,signup,,2,,5,,0.1
EVT_00079,CUST_03722,SUB_03722,2023-01-13,signup,,1,,1,,0.0
EVT_00080,CUST_04176,SUB_04176,2023-01-13,signup,,2,,2,,0.0
EVT_00081,CUST_04326,SUB_04326,2023-01-13,signup,,1,,1,,0.0
EVT_00082,CUST_04698,SUB_04698,2023-01-13,signup,,1,,1,,0.1
EVT_00083,CUST_06671,SUB_06671,2023-01-13,signup,,2,,3,,0.0
EVT_00084,CUST_01387,SUB_01387,2023-01-14,signup,,2,,2,,0.0
EVT_00085,CUST_02309,SUB_02309,2023-01-14,signup,,1,,1,,0.0
EVT_00086,CUST_02916,SUB_02916,2023-01-14,signup,,3,,5,,0.1
EVT_00087,CUST_03456,SUB_03456,2023-01-14,signup,,2,,5,,0.0
EVT_00088,CUST_05326,SUB_05326,2023-01-14,signup,,1,,1,,0.1
EVT_00089,CUST_00808,SUB_00808,2023-01-15,signup,,1,,1,,0.0
EVT_00090,CUST_01699,SUB_01699,2023-01-15,signup,,3,,8,,0.1
EVT_00091,CUST_02358,SUB_02358,2023-01-15,signup,,1,,1,,0.0
EVT_00092,CUST_02569,SUB_02569,2023-01-15,signup,,1,,1,,0.1
EVT_00093,CUST_04284,SUB_04284,2023-01-15,signup,,1,,1,,0.0
EVT_00094,CUST_05771,SUB_05771,2023-01-15,signup,,1,,1,,0.2
EVT_00095,CUST_05876,SUB_05876,2023-01-15,signup,,2,,1,,0.0
EVT_00096,CUST_06830,SUB_06830,2023-01-15,signup,,1,,1,,0.0
EVT_00097,CUST_00650,SUB_00650,2023-01-16,signup,,1,,1,,0.0
EVT_00098,CUST_02925,SUB_02925,2023-01-16,signup,,1,,1,,0.1
EVT_00099,CUST_04745,SUB_04745,2023-01-16,signup,,3,,7,,0.0
EVT_00100,CUST_06259,SUB_06259,2023-01-16,signup,,2,,3,,0.1
EVT_00101,CUST_06750,SUB_06750,2023-01-16,signup,,2,,2,,0.2
EVT_00102,CUST_06812,SUB_06812,2023-01-16,signup,,2,,4,,0.1
EVT_00103,CUST_06841,SUB_06841,2023-01-16,signup,,1,,3,,0.1
EVT_00104,CUST_01720,SUB_01720,2023-01-17,signup,,1,,1,,0.0
EVT_00105,CUST_03600,SUB_03600,2023-01-17,signup,,1,,1,,0.0
EVT_00106,CUST_03613,SUB_03613,2023-01-17,signup,,3,,1,,0.0
EVT_00107,CUST_04501,SUB_04501,2023-01-17,signup,,1,,1,,0.0
EVT_00108,CUST_04600,SUB_04600,2023-01-17,signup,,1,,1,,0.0
EVT_00109,CUST_04746,SUB_04746,2023-01-17,signup,,2,,2,,0.0
EVT_00110,CUST_04844,SUB_04844,2023-01-17,signup,,1,,1,,0.0
EVT_00111,CUST_04985,SUB_04985,2023-01-17,signup,,3,,6,,0.1
EVT_00112,CUST_05160,SUB_05160,2023-01-17,signup,,2,,1,,0.0
EVT_00113,CUST_06070,SUB_06070,2023-01-17,signup,,2,,5,,0.2
EVT_00114,CUST_06275,SUB_06275,2023-01-17,signup,,1,,1,,0.1
EVT_00115,CUST_06394,SUB_06394,2023-01-17,signup,,1,,1,,0.0
EVT_00116,CUST_00874,SUB_00874,2023-01-18,signup,,1,,1,,0.0
EVT_00117,CUST_00950,SUB_00950,2023-01-18,signup,,1,,1,,0.0
EVT_00118,CUST_02756,SUB_02756,2023-01-18,signup,,1,,1,,0.0
EVT_00119,CUST_02801,SUB_02801,2023-01-18,signup,,1,,1,,0.0
EVT_00120,CUST_02987,SUB_02987,2023-01-18,signup,,1,,1,,0.0
EVT_00121,CUST_03499,SUB_03499,2023-01-18,signup,,1,,1,,0.0
EVT_00122,CUST_03932,SUB_03932,2023-01-18,signup,,1,,1,,0.0
EVT_00123,CUST_04294,SUB_04294,2023-01-18,signup,,1,,1,,0.0
EVT_00124,CUST_04712,SUB_04712,2023-01-18,signup,,2,,1,,0.0
EVT_00125,CUST_04794,SUB_04794,2023-01-18,signup,,2,,5,,0.2
EVT_00126,CUST_05617,SUB_05617,2023-01-18,signup,,1,,1,,0.0
EVT_00127,CUST_06578,SUB_06578,2023-01-18,signup,,1,,1,,0.1
EVT_00128,CUST_02046,SUB_02046,2023-01-19,signup,,1,,1,,0.1
EVT_00129,CUST_03731,SUB_03731,2023-01-19,signup,,1,,1,,0.1
EVT_00130,CUST_05577,SUB_05577,2023-01-19,signup,,2,,2,,0.2
EVT_00131,CUST_05848,SUB_05848,2023-01-19,signup,,1,,1,,0.0
EVT_00132,CUST_06535,SUB_06535,2023-01-19,signup,,3,,4,,0.0
EVT_00133,CUST_00431,SUB_00431,2023-01-20,signup,,1,,1,,0.0
