subscription_id,customer_id,plan_id,plan_key,contract_type,start_date,end_date,locations,discount_pct,list_mrr,billed_mrr,is_active
SUB_00001,CUST_00001,2,pro,monthly,2023-02-01,2023-07-01,2,0.1,339,305.1,False
SUB_00002,CUST_00001,2,pro,monthly,2023-07-01,,3,0.1,379,341.1,True
SUB_00003,CUST_00002,1,basic,monthly,2023-06-01,,1,0.1,99,89.1,True
SUB_00004,CUST_00003,1,basic,monthly,2023-02-01,,1,0.0,99,99.0,True
SUB_00005,CUST_00004,1,basic,annual,2025-07-01,,1,0.0,99,99.0,True
SUB_00006,CUST_00005,2,pro,monthly,2025-05-01,,5,0.0,459,459.0,True
SUB_00007,CUST_00006,1,basic,monthly,2023-07-01,2024-10-01,1,0.0,99,99.0,False
SUB_00008,CUST_00007,1,basic,monthly,2023-03-01,2024-08-01,1,0.1,99,89.1,False
SUB_00009,CUST_00008,1,basic,monthly,2024-08-01,2024-09-01,1,0.0,99,99.0,False
SUB_00010,CUST_00009,1,basic,monthly,2023-05-01,,1,0.2,99,79.2,True
SUB_00011,CUST_00010,2,pro,monthly,2024-04-01,2025-07-01,1,0.0,299,299.0,False
SUB_00012,CUST_00011,2,pro,monthly,2023-11-01,2024-03-01,2,0.0,339,339.0,False
SUB_00013,CUST_00012,3,enterprise,monthly,2023-05-01,2024-03-01,8,0.0,1289,1289.0,False
SUB_00014,CUST_00012,3,enterprise,monthly,2024-03-01,2025-07-01,9,0.0,1359,1359.0,False
SUB_00015,CUST_00012,3,enterprise,monthly,2025-07-01,,10,0.0,1429,1429.0,True
SUB_00016,CUST_00013,1,basic,annual,2025-02-01,,1,0.0,99,99.0,True
SUB_00017,CUST_00014,1,basic,annual,2024-10-01,,1,0.0,99,99.0,True
SUB_00018,CUST_00015,1,basic,monthly,2024-10-01,2025-06-01,1,0.0,99,99.0,False
SUB_00019,CUST_00016,1,basic,monthly,2024-10-01,,1,0.0,99,99.0,True
SUB_00020,CUST_00017,2,pro,monthly,2023-10-01,2024-02-01,3,0.1,379,341.1,False
SUB_00021,CUST_00017,2,pro,monthly,2024-02-01,,4,0.1,419,377.1,True
SUB_00022,CUST_00018,2,pro,monthly,2025-05-01,,1,0.0,299,299.0,True
SUB_00023,CUST_00019,3,enterprise,annual,2025-11-01,,9,0.2,1359,1087.2,True
SUB_00024,CUST_00020,1,basic,monthly,2023-11-01,2024-05-01,1,0.2,99,79.2,False
SUB_00025,CUST_00021,1,basic,annual,2025-08-01,,1,0.0,99,99.0,True
SUB_00026,CUST_00022,1,basic,monthly,2023-08-01,2025-01-01,1,0.0,99,99.0,False
SUB_00027,CUST_00022,1,basic,monthly,2025-01-01,2025-04-01,2,0.0,99,99.0,False
SUB_00028,CUST_00022,1,basic,monthly,2025-04-01,,3,0.0,99,99.0,True
SUB_00029,CUST_00023,2,pro,monthly,2023-08-01,2024-02-01,2,0.0,339,339.0,False
SUB_00030,CUST_00023,2,pro,monthly,2024-02-01,2024-07-01,3,0.0,379,379.0,False
SUB_00031,CUST_00023,2,pro,monthly,2024-07-01,,4,0.0,419,419.0,True
SUB_00032,CUST_00024,3,enterprise,annual,2024-06-01,,3,0.0,939,939.0,True
SUB_00033,CUST_00025,1,basic,monthly,2024-09-01,2025-06-01,1,0.0,99,99.0,False
SUB_00034,CUST_00026,1,basic,annual,2023-11-01,2024-11-01,1,0.0,99,99.0,False
SUB_00035,CUST_00026,1,basic,annual,2024-11-01,2025-04-01,2,0.0,99,99.0,False
